boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.4_30t  10.4_30  10.4  t  30  -0.345761  1.132061  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_30b  10.4_30  10.4  b  30  -0.345761  1.132061  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_31t  10.4_31  10.4  t  31  0.388981  1.057202  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_31b  10.4_31  10.4  b  31  0.388981  1.057202  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_32t  10.4_32  10.4  t  32  0.302541  1.057202  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_32b  10.4_32  10.4  b  32  0.302541  1.057202  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_33t  10.4_33  10.4  t  33  0.216101  1.057202  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_33b  10.4_33  10.4  b  33  0.216101  1.057202  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_34t  10.4_34  10.4  t  34  0.129660  1.057202  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_34b  10.4_34  10.4  b  34  0.129660  1.057202  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_35t  10.4_35  10.4  t  35  0.043220  1.057202  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_35b  10.4_35  10.4  b  35  0.043220  1.057202  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_36t  10.4_36  10.4  t  36  -0.043220  1.057202  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_36b  10.4_36  10.4  b  36  -0.043220  1.057202  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_37t  10.4_37  10.4  t  37  -0.129660  1.057202  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_37b  10.4_37  10.4  b  37  -0.129660  1.057202  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_38t  10.4_38  10.4  t  38  -0.216101  1.057202  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_38b  10.4_38  10.4  b  38  -0.216101  1.057202  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_39t  10.4_39  10.4  t  39  -0.302541  1.057202  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_39b  10.4_39  10.4  b  39  -0.302541  1.057202  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_40t  10.4_40  10.4  t  40  -0.388981  1.057202  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_40b  10.4_40  10.4  b  40  -0.388981  1.057202  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_41t  10.4_41  10.4  t  41  0.432201  0.982343  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_41b  10.4_41  10.4  b  41  0.432201  0.982343  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_42t  10.4_42  10.4  t  42  0.345761  0.982343  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_42b  10.4_42  10.4  b  42  0.345761  0.982343  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_43t  10.4_43  10.4  t  43  0.259321  0.982343  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_43b  10.4_43  10.4  b  43  0.259321  0.982343  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_44t  10.4_44  10.4  t  44  0.172880  0.982343  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_44b  10.4_44  10.4  b  44  0.172880  0.982343  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_45t  10.4_45  10.4  t  45  0.086440  0.982343  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_45b  10.4_45  10.4  b  45  0.086440  0.982343  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_46t  10.4_46  10.4  t  46  0.000000  0.982343  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_46b  10.4_46  10.4  b  46  0.000000  0.982343  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_47t  10.4_47  10.4  t  47  -0.086440  0.982343  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_47b  10.4_47  10.4  b  47  -0.086440  0.982343  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_48t  10.4_48  10.4  t  48  -0.172880  0.982343  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_48b  10.4_48  10.4  b  48  -0.172880  0.982343  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_49t  10.4_49  10.4  t  49  -0.259321  0.982343  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_49b  10.4_49  10.4  b  49  -0.259321  0.982343  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_50t  10.4_50  10.4  t  50  -0.345761  0.982343  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_50b  10.4_50  10.4  b  50  -0.345761  0.982343  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_51t  10.4_51  10.4  t  51  -0.432201  0.982343  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_51b  10.4_51  10.4  b  51  -0.432201  0.982343  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_52t  10.4_52  10.4  t  52  0.388981  0.907483  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_52b  10.4_52  10.4  b  52  0.388981  0.907483  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_53t  10.4_53  10.4  t  53  0.302541  0.907483  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_53b  10.4_53  10.4  b  53  0.302541  0.907483  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_54t  10.4_54  10.4  t  54  0.216101  0.907483  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_54b  10.4_54  10.4  b  54  0.216101  0.907483  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_55t  10.4_55  10.4  t  55  0.129660  0.907483  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_55b  10.4_55  10.4  b  55  0.129660  0.907483  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_56t  10.4_56  10.4  t  56  0.043220  0.907483  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_56b  10.4_56  10.4  b  56  0.043220  0.907483  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_57t  10.4_57  10.4  t  57  -0.043220  0.907483  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_57b  10.4_57  10.4  b  57  -0.043220  0.907483  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_58t  10.4_58  10.4  t  58  -0.129660  0.907483  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_58b  10.4_58  10.4  b  58  -0.129660  0.907483  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_59t  10.4_59  10.4  t  59  -0.216101  0.907483  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_59b  10.4_59  10.4  b  59  -0.216101  0.907483  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_60t  10.4_60  10.4  t  60  -0.302541  0.907483  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_60b  10.4_60  10.4  b  60  -0.302541  0.907483  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_61t  10.4_61  10.4  t  61  -0.388981  0.907483  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_61b  10.4_61  10.4  b  61  -0.388981  0.907483  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_62t  10.4_62  10.4  t  62  0.345761  0.832624  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_62b  10.4_62  10.4  b  62  0.345761  0.832624  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_63t  10.4_63  10.4  t  63  0.259321  0.832624  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_63b  10.4_63  10.4  b  63  0.259321  0.832624  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_64t  10.4_64  10.4  t  64  0.172880  0.832624  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_64b  10.4_64  10.4  b  64  0.172880  0.832624  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_65t  10.4_65  10.4  t  65  0.086440  0.832624  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_65b  10.4_65  10.4  b  65  0.086440  0.832624  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_66t  10.4_66  10.4  t  66  0.000000  0.832624  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_66b  10.4_66  10.4  b  66  0.000000  0.832624  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_67t  10.4_67  10.4  t  67  -0.086440  0.832624  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_67b  10.4_67  10.4  b  67  -0.086440  0.832624  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_68t  10.4_68  10.4  t  68  -0.172880  0.832624  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_68b  10.4_68  10.4  b  68  -0.172880  0.832624  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_69t  10.4_69  10.4  t  69  -0.259321  0.832624  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_69b  10.4_69  10.4  b  69  -0.259321  0.832624  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_70t  10.4_70  10.4  t  70  -0.345761  0.832624  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_70b  10.4_70  10.4  b  70  -0.345761  0.832624  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_71t  10.4_71  10.4  t  71  0.302541  0.757764  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_71b  10.4_71  10.4  b  71  0.302541  0.757764  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_72t  10.4_72  10.4  t  72  0.216101  0.757764  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_72b  10.4_72  10.4  b  72  0.216101  0.757764  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_73t  10.4_73  10.4  t  73  0.129660  0.757764  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_73b  10.4_73  10.4  b  73  0.129660  0.757764  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_74t  10.4_74  10.4  t  74  0.043220  0.757764  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_74b  10.4_74  10.4  b  74  0.043220  0.757764  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_75t  10.4_75  10.4  t  75  -0.043220  0.757764  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_75b  10.4_75  10.4  b  75  -0.043220  0.757764  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_76t  10.4_76  10.4  t  76  -0.129660  0.757764  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_76b  10.4_76  10.4  b  76  -0.129660  0.757764  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_77t  10.4_77  10.4  t  77  -0.216101  0.757764  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_77b  10.4_77  10.4  b  77  -0.216101  0.757764  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_78t  10.4_78  10.4  t  78  -0.302541  0.757764  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_78b  10.4_78  10.4  b  78  -0.302541  0.757764  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_79t  10.4_79  10.4  t  79  0.259321  0.682905  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_79b  10.4_79  10.4  b  79  0.259321  0.682905  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_80t  10.4_80  10.4  t  80  0.172880  0.682905  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_80b  10.4_80  10.4  b  80  0.172880  0.682905  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_81t  10.4_81  10.4  t  81  0.086440  0.682905  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_81b  10.4_81  10.4  b  81  0.086440  0.682905  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_82t  10.4_82  10.4  t  82  0.000000  0.682905  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_82b  10.4_82  10.4  b  82  0.000000  0.682905  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_83t  10.4_83  10.4  t  83  -0.086440  0.682905  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_83b  10.4_83  10.4  b  83  -0.086440  0.682905  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_84t  10.4_84  10.4  t  84  -0.172880  0.682905  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_84b  10.4_84  10.4  b  84  -0.172880  0.682905  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_85t  10.4_85  10.4  t  85  -0.259321  0.682905  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_85b  10.4_85  10.4  b  85  -0.259321  0.682905  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_86t  10.4_86  10.4  t  86  0.216101  0.608045  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_86b  10.4_86  10.4  b  86  0.216101  0.608045  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_87t  10.4_87  10.4  t  87  0.129660  0.608045  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_87b  10.4_87  10.4  b  87  0.129660  0.608045  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_88t  10.4_88  10.4  t  88  0.043220  0.608045  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_88b  10.4_88  10.4  b  88  0.043220  0.608045  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_89t  10.4_89  10.4  t  89  -0.043220  0.608045  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_89b  10.4_89  10.4  b  89  -0.043220  0.608045  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_90t  10.4_90  10.4  t  90  -0.129660  0.608045  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_90b  10.4_90  10.4  b  90  -0.129660  0.608045  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_91t  10.4_91  10.4  t  91  -0.216101  0.608045  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_91b  10.4_91  10.4  b  91  -0.216101  0.608045  90.000000  1.000000  3.500000  3.500000  0.000000
10.3_1t  10.3_1  10.3  t  1  1.282935  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_1b  10.3_1  10.3  b  1  1.282935  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_2t  10.3_2  10.3  t  2  1.239715  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_2b  10.3_2  10.3  b  2  1.239715  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_3t  10.3_3  10.3  t  3  1.196495  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_3b  10.3_3  10.3  b  3  1.196495  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_4t  10.3_4  10.3  t  4  1.153275  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_4b  10.3_4  10.3  b  4  1.153275  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_5t  10.3_5  10.3  t  5  1.110054  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_5b  10.3_5  10.3  b  5  1.110054  0.790609  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_6t  10.3_6  10.3  t  6  1.066834  0.865469  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_6b  10.3_6  10.3  b  6  1.066834  0.865469  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_7t  10.3_7  10.3  t  7  1.239715  0.416312  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_7b  10.3_7  10.3  b  7  1.239715  0.416312  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_8t  10.3_8  10.3  t  8  1.196495  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_8b  10.3_8  10.3  b  8  1.196495  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_9t  10.3_9  10.3  t  9  1.153275  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_9b  10.3_9  10.3  b  9  1.153275  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_10t  10.3_10  10.3  t  10  1.110054  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_10b  10.3_10  10.3  b  10  1.110054  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_11t  10.3_11  10.3  t  11  1.066834  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_11b  10.3_11  10.3  b  11  1.066834  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_12t  10.3_12  10.3  t  12  1.023614  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_12b  10.3_12  10.3  b  12  1.023614  0.790609  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_13t  10.3_13  10.3  t  13  0.980394  0.865469  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_13b  10.3_13  10.3  b  13  0.980394  0.865469  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_14t  10.3_14  10.3  t  14  1.196495  0.341452  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_14b  10.3_14  10.3  b  14  1.196495  0.341452  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_15t  10.3_15  10.3  t  15  1.153274  0.416312  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_15b  10.3_15  10.3  b  15  1.153274  0.416312  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_16t  10.3_16  10.3  t  16  1.110054  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_16b  10.3_16  10.3  b  16  1.110054  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_17t  10.3_17  10.3  t  17  1.066834  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_17b  10.3_17  10.3  b  17  1.066834  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_18t  10.3_18  10.3  t  18  1.023614  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_18b  10.3_18  10.3  b  18  1.023614  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_19t  10.3_19  10.3  t  19  0.980394  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_19b  10.3_19  10.3  b  19  0.980394  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_20t  10.3_20  10.3  t  20  0.937174  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_20b  10.3_20  10.3  b  20  0.937174  0.790609  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_21t  10.3_21  10.3  t  21  0.893954  0.865469  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_21b  10.3_21  10.3  b  21  0.893954  0.865469  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_22t  10.3_22  10.3  t  22  1.153274  0.266593  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_22b  10.3_22  10.3  b  22  1.153274  0.266593  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_23t  10.3_23  10.3  t  23  1.110054  0.341452  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_23b  10.3_23  10.3  b  23  1.110054  0.341452  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_24t  10.3_24  10.3  t  24  1.066834  0.416312  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_24b  10.3_24  10.3  b  24  1.066834  0.416312  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_25t  10.3_25  10.3  t  25  1.023614  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_25b  10.3_25  10.3  b  25  1.023614  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_26t  10.3_26  10.3  t  26  0.980394  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_26b  10.3_26  10.3  b  26  0.980394  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_27t  10.3_27  10.3  t  27  0.937174  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_27b  10.3_27  10.3  b  27  0.937174  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_28t  10.3_28  10.3  t  28  0.893954  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_28b  10.3_28  10.3  b  28  0.893954  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_29t  10.3_29  10.3  t  29  0.850734  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_29b  10.3_29  10.3  b  29  0.850734  0.790609  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_30t  10.3_30  10.3  t  30  0.807514  0.865468  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_30b  10.3_30  10.3  b  30  0.807514  0.865468  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_31t  10.3_31  10.3  t  31  1.110054  0.191734  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_31b  10.3_31  10.3  b  31  1.110054  0.191734  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_32t  10.3_32  10.3  t  32  1.066834  0.266593  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_32b  10.3_32  10.3  b  32  1.066834  0.266593  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_33t  10.3_33  10.3  t  33  1.023614  0.341452  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_33b  10.3_33  10.3  b  33  1.023614  0.341452  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_34t  10.3_34  10.3  t  34  0.980394  0.416312  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_34b  10.3_34  10.3  b  34  0.980394  0.416312  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_35t  10.3_35  10.3  t  35  0.937174  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_35b  10.3_35  10.3  b  35  0.937174  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_36t  10.3_36  10.3  t  36  0.893954  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_36b  10.3_36  10.3  b  36  0.893954  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_37t  10.3_37  10.3  t  37  0.850734  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_37b  10.3_37  10.3  b  37  0.850734  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_38t  10.3_38  10.3  t  38  0.807513  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_38b  10.3_38  10.3  b  38  0.807513  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_39t  10.3_39  10.3  t  39  0.764293  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_39b  10.3_39  10.3  b  39  0.764293  0.790609  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_40t  10.3_40  10.3  t  40  0.721073  0.865468  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_40b  10.3_40  10.3  b  40  0.721073  0.865468  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_41t  10.3_41  10.3  t  41  1.066834  0.116874  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_41b  10.3_41  10.3  b  41  1.066834  0.116874  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_42t  10.3_42  10.3  t  42  1.023614  0.191734  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_42b  10.3_42  10.3  b  42  1.023614  0.191734  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_43t  10.3_43  10.3  t  43  0.980394  0.266593  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_43b  10.3_43  10.3  b  43  0.980394  0.266593  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_44t  10.3_44  10.3  t  44  0.937174  0.341452  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_44b  10.3_44  10.3  b  44  0.937174  0.341452  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_45t  10.3_45  10.3  t  45  0.893954  0.416312  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_45b  10.3_45  10.3  b  45  0.893954  0.416312  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_46t  10.3_46  10.3  t  46  0.850734  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_46b  10.3_46  10.3  b  46  0.850734  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_47t  10.3_47  10.3  t  47  0.807513  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_47b  10.3_47  10.3  b  47  0.807513  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_48t  10.3_48  10.3  t  48  0.764293  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_48b  10.3_48  10.3  b  48  0.764293  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_49t  10.3_49  10.3  t  49  0.721073  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_49b  10.3_49  10.3  b  49  0.721073  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_50t  10.3_50  10.3  t  50  0.677853  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_50b  10.3_50  10.3  b  50  0.677853  0.790609  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_51t  10.3_51  10.3  t  51  0.634633  0.865468  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_51b  10.3_51  10.3  b  51  0.634633  0.865468  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_52t  10.3_52  10.3  t  52  0.980394  0.116874  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_52b  10.3_52  10.3  b  52  0.980394  0.116874  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_53t  10.3_53  10.3  t  53  0.937174  0.191733  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_53b  10.3_53  10.3  b  53  0.937174  0.191733  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_54t  10.3_54  10.3  t  54  0.893954  0.266593  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_54b  10.3_54  10.3  b  54  0.893954  0.266593  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_55t  10.3_55  10.3  t  55  0.850734  0.341452  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_55b  10.3_55  10.3  b  55  0.850734  0.341452  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_56t  10.3_56  10.3  t  56  0.807513  0.416312  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_56b  10.3_56  10.3  b  56  0.807513  0.416312  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_57t  10.3_57  10.3  t  57  0.764293  0.491171  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_57b  10.3_57  10.3  b  57  0.764293  0.491171  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_58t  10.3_58  10.3  t  58  0.721073  0.566031  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_58b  10.3_58  10.3  b  58  0.721073  0.566031  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_59t  10.3_59  10.3  t  59  0.677853  0.640890  -60.000210  1.000000  3.500000  3.500000  0.000000
10.3_59b  10.3_59  10.3  b  59  0.677853  0.640890  30.000000  1.000000  3.500000  3.500000  0.000000
10.3_60t  10.3_60  10.3  t  60  0.634633  0.715750  -104.999743  1.000000  3.500000  3.500000  0.000000
10.3_60b  10.3_60  10.3  b  60  0.634633  0.715750  -14.999991  1.000000  3.500000  3.500000  0.000000
10.3_61t  10.3_61  10.3  t  61  0.591413  0.790609  -60.000210  1.000000  3.500000  3.500000  0.000000
