boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.2_28b  10.2_28  10.2  b  28  -0.216101  -0.074859  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_29t  10.2_29  10.2  t  29  -0.259321  -0.149719  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_29b  10.2_29  10.2  b  29  -0.259321  -0.149719  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_30t  10.2_30  10.2  t  30  -0.302541  -0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_30b  10.2_30  10.2  b  30  -0.302541  -0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_31t  10.2_31  10.2  t  31  0.129660  0.374297  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_31b  10.2_31  10.2  b  31  0.129660  0.374297  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_32t  10.2_32  10.2  t  32  0.086440  0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_32b  10.2_32  10.2  b  32  0.086440  0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_33t  10.2_33  10.2  t  33  0.043220  0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_33b  10.2_33  10.2  b  33  0.043220  0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_34t  10.2_34  10.2  t  34  -0.000000  0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_34b  10.2_34  10.2  b  34  -0.000000  0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_35t  10.2_35  10.2  t  35  -0.043220  0.074859  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_35b  10.2_35  10.2  b  35  -0.043220  0.074859  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_36t  10.2_36  10.2  t  36  -0.086440  0.000000  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_36b  10.2_36  10.2  b  36  -0.086440  0.000000  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_37t  10.2_37  10.2  t  37  -0.129660  -0.074859  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_37b  10.2_37  10.2  b  37  -0.129660  -0.074859  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_38t  10.2_38  10.2  t  38  -0.172881  -0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_38b  10.2_38  10.2  b  38  -0.172881  -0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_39t  10.2_39  10.2  t  39  -0.216101  -0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_39b  10.2_39  10.2  b  39  -0.216101  -0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_40t  10.2_40  10.2  t  40  -0.259321  -0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_40b  10.2_40  10.2  b  40  -0.259321  -0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
